SKU,Category,Region,Supplier,On_Hand_Units,Avg_Daily_Demand,Lead_Time_Days,Unit_Cost,Safety_Stock_Factor,Reorder_Point,Risk_Flag,Inventory_Value,At_Risk_Value
SKU-7001,Electronics,West,Supplier A,40,4,5,18,1.1,22,Healthy,720,0
SKU-7002,Industrial,South,Supplier H,83,11,8,47,1.1,96.80000000000001,At Risk,3901,3901
SKU-7003,Medical,Central,Supplier C,126,18,11,76,1.1,217.8,At Risk,9576,9576
SKU-7004,Consumer,East,Supplier J,169,25,14,105,1.1,385.00000000000006,At Risk,17745,17745
SKU-7005,Network,West,Supplier E,212,32,17,134,1.1,598.4000000000001,At Risk,28408,28408
SKU-7006,Electronics,South,Supplier L,255,39,20,163,1.1,858.0000000000001,At Risk,41565,41565
SKU-7007,Industrial,Central,Supplier G,298,8,23,192,1.1,202.4,Healthy,57216,0
SKU-7008,Medical,East,Supplier B,341,15,26,221,1.1,429.00000000000006,At Risk,75361,75361
SKU-7009,Consumer,West,Supplier I,384,22,29,250,1.1,701.8000000000001,At Risk,96000,96000
SKU-7010,Network,South,Supplier D,427,29,7,279,1.1,223.3,Healthy,119133,0
SKU-7011,Electronics,Central,Supplier K,470,36,10,308,1.1,396.00000000000006,Healthy,144760,0
SKU-7012,Industrial,East,Supplier F,513,5,13,337,1.1,71.5,Healthy,172881,0
SKU-7013,Medical,West,Supplier A,556,12,16,366,1.1,211.20000000000002,Healthy,203496,0
SKU-7014,Consumer,South,Supplier H,599,19,19,395,1.1,397.1,Healthy,236605,0
SKU-7015,Network,Central,Supplier C,642,26,22,424,1.1,629.2,Healthy,272208,0
SKU-7016,Electronics,East,Supplier J,685,33,25,453,1.1,907.5000000000001,At Risk,310305,310305
SKU-7017,Industrial,West,Supplier E,728,40,28,22,1.1,1232,At Risk,16016,16016
SKU-7018,Medical,South,Supplier L,41,9,6,51,1.1,59.400000000000006,At Risk,2091,2091
SKU-7019,Consumer,Central,Supplier G,84,16,9,80,1.1,158.4,At Risk,6720,6720
SKU-7020,Network,East,Supplier B,127,23,12,109,1.1,303.6,At Risk,13843,13843
SKU-7021,Electronics,West,Supplier I,170,30,15,138,1.1,495.00000000000006,At Risk,23460,23460
SKU-7022,Industrial,South,Supplier D,213,37,18,167,1.1,732.6,At Risk,35571,35571
SKU-7023,Medical,Central,Supplier K,256,6,21,196,1.1,138.60000000000002,Healthy,50176,0
SKU-7024,Consumer,East,Supplier F,299,13,24,225,1.1,343.20000000000005,At Risk,67275,67275
SKU-7025,Network,West,Supplier A,342,20,27,254,1.1,594,At Risk,86868,86868
SKU-7026,Electronics,South,Supplier H,385,27,5,283,1.1,148.5,Healthy,108955,0
SKU-7027,Industrial,Central,Supplier C,428,34,8,312,1.1,299.20000000000005,Healthy,133536,0
SKU-7028,Medical,East,Supplier J,471,41,11,341,1.1,496.1,At Risk,160611,160611
SKU-7029,Consumer,West,Supplier E,514,10,14,370,1.1,154,Healthy,190180,0
SKU-7030,Network,South,Supplier L,557,17,17,399,1.1,317.90000000000003,Healthy,222243,0
SKU-7031,Electronics,Central,Supplier G,600,24,20,428,1.1,528,Healthy,256800,0
SKU-7032,Industrial,East,Supplier B,643,31,23,457,1.1,784.3000000000001,At Risk,293851,293851
SKU-7033,Medical,West,Supplier I,686,38,26,26,1.1,1086.8000000000002,At Risk,17836,17836
SKU-7034,Consumer,South,Supplier D,729,7,29,55,1.1,223.3,Healthy,40095,0
SKU-7035,Network,Central,Supplier K,42,14,7,84,1.1,107.80000000000001,At Risk,3528,3528
SKU-7036,Electronics,East,Supplier F,85,21,10,113,1.1,231.00000000000003,At Risk,9605,9605
SKU-7037,Industrial,West,Supplier A,128,28,13,142,1.1,400.40000000000003,At Risk,18176,18176
SKU-7038,Medical,South,Supplier H,171,35,16,171,1.1,616,At Risk,29241,29241
SKU-7039,Consumer,Central,Supplier C,214,4,19,200,1.1,83.60000000000001,Healthy,42800,0
SKU-7040,Network,East,Supplier J,257,11,22,229,1.1,266.20000000000005,At Risk,58853,58853
SKU-7041,Electronics,West,Supplier E,300,18,25,258,1.1,495.00000000000006,At Risk,77400,77400
SKU-7042,Industrial,South,Supplier L,343,25,28,287,1.1,770.0000000000001,At Risk,98441,98441
SKU-7043,Medical,Central,Supplier G,386,32,6,316,1.1,211.20000000000002,Healthy,121976,0
SKU-7044,Consumer,East,Supplier B,429,39,9,345,1.1,386.1,Healthy,148005,0
SKU-7045,Network,West,Supplier I,472,8,12,374,1.1,105.60000000000001,Healthy,176528,0
SKU-7046,Electronics,South,Supplier D,515,15,15,403,1.1,247.50000000000003,Healthy,207545,0
SKU-7047,Industrial,Central,Supplier K,558,22,18,432,1.1,435.6,Healthy,241056,0
SKU-7048,Medical,East,Supplier F,601,29,21,461,1.1,669.9000000000001,At Risk,277061,277061
SKU-7049,Consumer,West,Supplier A,644,36,24,30,1.1,950.4000000000001,At Risk,19320,19320
SKU-7050,Network,South,Supplier H,687,5,27,59,1.1,148.5,Healthy,40533,0
SKU-7051,Electronics,Central,Supplier C,730,12,5,88,1.1,66,Healthy,64240,0
SKU-7052,Industrial,East,Supplier J,43,19,8,117,1.1,167.20000000000002,At Risk,5031,5031
SKU-7053,Medical,West,Supplier E,86,26,11,146,1.1,314.6,At Risk,12556,12556
SKU-7054,Consumer,South,Supplier L,129,33,14,175,1.1,508.20000000000005,At Risk,22575,22575
SKU-7055,Network,Central,Supplier G,172,40,17,204,1.1,748.0000000000001,At Risk,35088,35088
SKU-7056,Electronics,East,Supplier B,215,9,20,233,1.1,198.00000000000003,Healthy,50095,0
SKU-7057,Industrial,West,Supplier I,258,16,23,262,1.1,404.8,At Risk,67596,67596
SKU-7058,Medical,South,Supplier D,301,23,26,291,1.1,657.8000000000001,At Risk,87591,87591
SKU-7059,Consumer,Central,Supplier K,344,30,29,320,1.1,957.0000000000001,At Risk,110080,110080
SKU-7060,Network,East,Supplier F,387,37,7,349,1.1,284.90000000000003,Healthy,135063,0
SKU-7061,Electronics,West,Supplier A,430,6,10,378,1.1,66,Healthy,162540,0
SKU-7062,Industrial,South,Supplier H,473,13,13,407,1.1,185.9,Healthy,192511,0
SKU-7063,Medical,Central,Supplier C,516,20,16,436,1.1,352,Healthy,224976,0
SKU-7064,Consumer,East,Supplier J,559,27,19,465,1.1,564.3000000000001,At Risk,259935,259935
SKU-7065,Network,West,Supplier E,602,34,22,34,1.1,822.8000000000001,At Risk,20468,20468
SKU-7066,Electronics,South,Supplier L,645,41,25,63,1.1,1127.5,At Risk,40635,40635
SKU-7067,Industrial,Central,Supplier G,688,10,28,92,1.1,308,Healthy,63296,0
SKU-7068,Medical,East,Supplier B,731,17,6,121,1.1,112.2,Healthy,88451,0
SKU-7069,Consumer,West,Supplier I,44,24,9,150,1.1,237.60000000000002,At Risk,6600,6600
SKU-7070,Network,South,Supplier D,87,31,12,179,1.1,409.20000000000005,At Risk,15573,15573
SKU-7071,Electronics,Central,Supplier K,130,38,15,208,1.1,627,At Risk,27040,27040
SKU-7072,Industrial,East,Supplier F,173,7,18,237,1.1,138.60000000000002,Healthy,41001,0
SKU-7073,Medical,West,Supplier A,216,14,21,266,1.1,323.40000000000003,At Risk,57456,57456
SKU-7074,Consumer,South,Supplier H,259,21,24,295,1.1,554.4000000000001,At Risk,76405,76405
SKU-7075,Network,Central,Supplier C,302,28,27,324,1.1,831.6,At Risk,97848,97848
SKU-7076,Electronics,East,Supplier J,345,35,5,353,1.1,192.50000000000003,Healthy,121785,0
SKU-7077,Industrial,West,Supplier E,388,4,8,382,1.1,35.2,Healthy,148216,0
SKU-7078,Medical,South,Supplier L,431,11,11,411,1.1,133.10000000000002,Healthy,177141,0
SKU-7079,Consumer,Central,Supplier G,474,18,14,440,1.1,277.20000000000005,Healthy,208560,0
SKU-7080,Network,East,Supplier B,517,25,17,469,1.1,467.50000000000006,Healthy,242473,0
