Shipment_ID,Ship_Date,Region,Supplier,Category,Ordered_Units,Delivered_Units,Forecast_Units,Planned_Days,Actual_Days,On_Time,Fill_Rate,Absolute_Forecast_Error,Freight_Cost
SHP-5001,2025-01-01,West,Supplier A,Electronics,80,80,26,3,1,Yes,1,54,420
SHP-5002,2025-02-08,South,Supplier F,Medical,117,100,81,4,7,No,0.8547008547008547,19,503
SHP-5003,2025-03-15,Central,Supplier K,Network,154,120,136,5,6,No,0.7792207792207793,16,586
SHP-5004,2025-04-22,East,Supplier D,Industrial,191,188,191,6,7,No,0.9842931937172775,3,669
SHP-5005,2025-05-02,West,Supplier I,Consumer,228,208,246,7,6,Yes,0.9122807017543859,38,752
SHP-5006,2025-06-09,South,Supplier B,Electronics,265,228,301,3,2,Yes,0.8603773584905661,73,835
SHP-5007,2025-07-16,Central,Supplier G,Medical,302,296,356,4,8,No,0.9801324503311258,60,918
SHP-5008,2025-08-23,East,Supplier L,Network,339,316,285,5,7,No,0.9321533923303835,31,1001
SHP-5009,2025-09-03,West,Supplier E,Industrial,376,336,340,6,8,No,0.8936170212765957,4,1084
SHP-5010,2025-10-10,South,Supplier J,Consumer,413,404,395,7,7,Yes,0.9782082324455206,9,1167
SHP-5011,2025-11-17,Central,Supplier C,Electronics,450,424,450,3,3,Yes,0.9422222222222222,26,1250
SHP-5012,2025-12-24,East,Supplier H,Medical,487,444,505,4,2,Yes,0.9117043121149897,61,1333
SHP-5013,2025-01-04,West,Supplier A,Network,104,92,140,5,6,No,0.8846153846153846,48,1416
SHP-5014,2025-02-11,South,Supplier F,Industrial,141,112,195,6,5,Yes,0.7943262411347518,83,1499
SHP-5015,2025-03-18,Central,Supplier K,Consumer,178,132,124,7,11,No,0.7415730337078652,8,1582
SHP-5016,2025-04-25,East,Supplier D,Electronics,215,200,179,3,7,No,0.9302325581395349,21,1665
SHP-5017,2025-05-05,West,Supplier I,Medical,252,220,234,4,6,No,0.873015873015873,14,1748
SHP-5018,2025-06-12,South,Supplier B,Network,289,288,289,5,7,No,0.9965397923875432,1,1831
SHP-5019,2025-07-19,Central,Supplier G,Industrial,326,308,344,6,6,Yes,0.9447852760736196,36,1914
SHP-5020,2025-08-26,East,Supplier L,Consumer,363,328,399,7,5,Yes,0.9035812672176309,71,1997
SHP-5021,2025-09-06,West,Supplier E,Electronics,400,396,454,3,1,Yes,0.99,58,2080
SHP-5022,2025-10-13,South,Supplier J,Medical,437,416,383,4,7,No,0.9519450800915332,33,2163
SHP-5023,2025-11-20,Central,Supplier C,Network,474,436,438,5,8,No,0.919831223628692,2,2246
