Customer_ID,Tenure_Months,Plan,Region,Monthly_Charge,Support_Tickets,Satisfaction,Churned
CUS-2001,1,Basic,West,39,0,1,Yes
CUS-2002,8,Plus,South,50,5,4,Yes
CUS-2003,15,Premium,Central,61,3,2,No
CUS-2004,22,Basic,East,72,1,5,No
CUS-2005,29,Plus,West,83,6,3,No
CUS-2006,36,Premium,South,94,4,1,No
CUS-2007,43,Basic,Central,105,2,4,No
CUS-2008,50,Plus,East,116,0,2,No
CUS-2009,57,Premium,West,127,5,5,No
CUS-2010,4,Basic,South,46,3,3,No
CUS-2011,11,Plus,Central,57,1,1,No
CUS-2012,18,Premium,East,68,6,4,No
CUS-2013,25,Basic,West,79,4,2,Yes
CUS-2014,32,Plus,South,90,2,5,No
CUS-2015,39,Premium,Central,101,0,3,No
CUS-2016,46,Basic,East,112,5,1,Yes
CUS-2017,53,Plus,West,123,3,4,No
CUS-2018,60,Premium,South,42,1,2,No
CUS-2019,7,Basic,Central,53,6,5,Yes
CUS-2020,14,Plus,East,64,4,3,No
CUS-2021,21,Premium,West,75,2,1,No
CUS-2022,28,Basic,South,86,0,4,No
CUS-2023,35,Plus,Central,97,5,2,No
CUS-2024,42,Premium,East,108,3,5,No
CUS-2025,49,Basic,West,119,1,3,No
CUS-2026,56,Plus,South,130,6,1,No
CUS-2027,3,Premium,Central,49,4,4,Yes
CUS-2028,10,Basic,East,60,2,2,Yes
CUS-2029,17,Plus,West,71,0,5,No
CUS-2030,24,Premium,South,82,5,3,No
CUS-2031,31,Basic,Central,93,3,1,Yes
CUS-2032,38,Plus,East,104,1,4,No
CUS-2033,45,Premium,West,115,6,2,No
CUS-2034,52,Basic,South,126,4,5,No
CUS-2035,59,Plus,Central,45,2,3,No
CUS-2036,6,Premium,East,56,0,1,No
CUS-2037,13,Basic,West,67,5,4,No
CUS-2038,20,Plus,South,78,3,2,No
CUS-2039,27,Premium,Central,89,1,5,No
CUS-2040,34,Basic,East,100,6,3,No
CUS-2041,41,Plus,West,111,4,1,No
CUS-2042,48,Premium,South,122,2,4,No
CUS-2043,55,Basic,Central,41,0,2,Yes
CUS-2044,2,Plus,East,52,5,5,Yes
CUS-2045,9,Premium,West,63,3,3,No
CUS-2046,16,Basic,South,74,1,1,Yes
CUS-2047,23,Plus,Central,85,6,4,No
CUS-2048,30,Premium,East,96,4,2,No
CUS-2049,37,Basic,West,107,2,5,No
CUS-2050,44,Plus,South,118,0,3,No
CUS-2051,51,Premium,Central,129,5,1,No
CUS-2052,58,Basic,East,48,3,4,No
CUS-2053,5,Plus,West,59,1,2,No
CUS-2054,12,Premium,South,70,6,5,No
CUS-2055,19,Basic,Central,81,4,3,No
CUS-2056,26,Plus,East,92,2,1,No
CUS-2057,33,Premium,West,103,0,4,No
CUS-2058,40,Basic,South,114,5,2,Yes
CUS-2059,47,Plus,Central,125,3,5,No
CUS-2060,54,Premium,East,44,1,3,No
CUS-2061,1,Basic,West,55,6,1,Yes
CUS-2062,8,Plus,South,66,4,4,Yes
CUS-2063,15,Premium,Central,77,2,2,No
CUS-2064,22,Basic,East,88,0,5,No
CUS-2065,29,Plus,West,99,5,3,No
CUS-2066,36,Premium,South,110,3,1,No
CUS-2067,43,Basic,Central,121,1,4,No
CUS-2068,50,Plus,East,40,6,2,No
CUS-2069,57,Premium,West,51,4,5,No
CUS-2070,4,Basic,South,62,2,3,No
CUS-2071,11,Plus,Central,73,0,1,No
CUS-2072,18,Premium,East,84,5,4,No
CUS-2073,25,Basic,West,95,3,2,Yes
CUS-2074,32,Plus,South,106,1,5,No
CUS-2075,39,Premium,Central,117,6,3,No
CUS-2076,46,Basic,East,128,4,1,Yes
CUS-2077,53,Plus,West,47,2,4,No
CUS-2078,60,Premium,South,58,0,2,No
CUS-2079,7,Basic,Central,69,5,5,Yes
CUS-2080,14,Plus,East,80,3,3,No
CUS-2081,21,Premium,West,91,1,1,No
CUS-2082,28,Basic,South,102,6,4,No
CUS-2083,35,Plus,Central,113,4,2,No
CUS-2084,42,Premium,East,124,2,5,No
CUS-2085,49,Basic,West,43,0,3,No
CUS-2086,56,Plus,South,54,5,1,No
CUS-2087,3,Premium,Central,65,3,4,No
CUS-2088,10,Basic,East,76,1,2,Yes
CUS-2089,17,Plus,West,87,6,5,No
CUS-2090,24,Premium,South,98,4,3,No
CUS-2091,31,Basic,Central,109,2,1,Yes
CUS-2092,38,Plus,East,120,0,4,No
CUS-2093,45,Premium,West,39,5,2,No
CUS-2094,52,Basic,South,50,3,5,No
CUS-2095,59,Plus,Central,61,1,3,No
CUS-2096,6,Premium,East,72,6,1,Yes
CUS-2097,13,Basic,West,83,4,4,No
