Order_ID,Order_Date,Region,Segment,Category,Revenue,Cost,Units
ORD-1001,2024-12-31,West,Enterprise,Software,6500,5070,8
ORD-1002,2025-02-07,East,Consumer,Hardware,8373,5610,21
ORD-1003,2025-03-14,Central,SMB,Services,10246,5738,34
ORD-1004,2025-04-21,South,Enterprise,Software,12119,8362,47
ORD-1005,2025-05-01,West,Consumer,Hardware,13992,8115,60
ORD-1006,2025-06-08,East,SMB,Services,15865,11264,73
ORD-1007,2025-07-15,Central,Enterprise,Software,17738,10643,14
ORD-1008,2025-08-22,South,Consumer,Hardware,19611,14316,27
ORD-1009,2025-09-02,West,SMB,Services,21484,13320,40
ORD-1010,2025-10-09,East,Enterprise,Software,23357,17518,53
ORD-1011,2025-11-16,Central,Consumer,Hardware,6730,4307,66
ORD-1012,2025-12-23,South,SMB,Services,8603,6624,79
ORD-1013,2025-01-03,West,Enterprise,Software,10476,6914,20
ORD-1014,2025-02-10,East,Consumer,Hardware,12349,6792,33
ORD-1015,2025-03-17,Central,SMB,Services,14222,9671,46
ORD-1016,2025-04-24,South,Enterprise,Software,16095,9174,59
ORD-1017,2025-05-04,West,Consumer,Hardware,17968,12578,72
ORD-1018,2025-06-11,East,SMB,Services,19841,11706,13
ORD-1019,2025-07-18,Central,Enterprise,Software,21714,15634,26
ORD-1020,2025-08-25,South,Consumer,Hardware,23587,14388,39
ORD-1021,2025-09-05,West,SMB,Services,6960,5150,52
ORD-1022,2025-10-12,East,Enterprise,Software,8833,5565,65
ORD-1023,2025-11-19,Central,Consumer,Hardware,10706,8137,78
ORD-1024,2025-12-26,South,SMB,Services,12579,8176,19
ORD-1025,2025-01-06,West,Enterprise,Software,14452,11273,32
ORD-1026,2025-02-13,East,Consumer,Hardware,16325,10938,45
ORD-1027,2025-03-20,Central,SMB,Services,18198,10191,58
ORD-1028,2025-03-31,South,Enterprise,Software,20071,13849,71
ORD-1029,2025-05-07,West,Consumer,Hardware,21944,12728,12
ORD-1030,2025-06-14,East,SMB,Services,23817,16910,25
ORD-1031,2025-07-21,Central,Enterprise,Software,7190,4314,38
ORD-1032,2025-08-01,South,Consumer,Hardware,9063,6616,51
ORD-1033,2025-09-08,West,SMB,Services,10936,6780,64
ORD-1034,2025-10-15,East,Enterprise,Software,12809,9607,77
ORD-1035,2025-11-22,Central,Consumer,Hardware,14682,9396,18
ORD-1036,2025-12-02,South,SMB,Services,16555,12747,31
ORD-1037,2025-01-09,West,Enterprise,Software,18428,12162,44
ORD-1038,2025-02-16,East,Consumer,Hardware,20301,11166,57
ORD-1039,2025-03-23,Central,SMB,Services,22174,15078,70
ORD-1040,2025-04-03,South,Enterprise,Software,24047,13707,11
ORD-1041,2025-05-10,West,Consumer,Hardware,7420,5194,24
ORD-1042,2025-06-17,East,SMB,Services,9293,5483,37
ORD-1043,2025-07-24,Central,Enterprise,Software,11166,8040,50
ORD-1044,2025-08-04,South,Consumer,Hardware,13039,7954,63
ORD-1045,2025-09-11,West,SMB,Services,14912,11035,76
ORD-1046,2025-10-18,East,Enterprise,Software,16785,10575,17
ORD-1047,2025-11-25,Central,Consumer,Hardware,18658,14180,30
ORD-1048,2025-12-05,South,SMB,Services,20531,13345,43
ORD-1049,2025-01-12,West,Enterprise,Software,22404,17475,56
ORD-1050,2025-02-19,East,Consumer,Hardware,24277,16266,69
ORD-1051,2025-03-26,Central,SMB,Services,7650,4284,10
ORD-1052,2025-04-06,South,Enterprise,Software,9523,6571,23
ORD-1053,2025-05-13,West,Consumer,Hardware,11396,6610,36
ORD-1054,2025-06-20,East,SMB,Services,13269,9421,49
ORD-1055,2025-06-30,Central,Enterprise,Software,15142,9085,62
ORD-1056,2025-08-07,South,Consumer,Hardware,17015,12421,75
ORD-1057,2025-09-14,West,SMB,Services,18888,11711,16
ORD-1058,2025-10-21,East,Enterprise,Software,20761,15571,29
ORD-1059,2025-11-01,Central,Consumer,Hardware,22634,14486,42
ORD-1060,2025-12-08,South,SMB,Services,24507,18870,55
ORD-1061,2025-01-15,West,Enterprise,Software,7880,5201,68
ORD-1062,2025-02-22,East,Consumer,Hardware,9753,5364,9
ORD-1063,2025-03-02,Central,SMB,Services,11626,7906,22
ORD-1064,2025-04-09,South,Enterprise,Software,13499,7694,35
ORD-1065,2025-05-16,West,Consumer,Hardware,15372,10760,48
ORD-1066,2025-06-23,East,SMB,Services,17245,10175,61
ORD-1067,2025-07-03,Central,Enterprise,Software,19118,13765,74
ORD-1068,2025-08-10,South,Consumer,Hardware,20991,12805,15
ORD-1069,2025-09-17,West,SMB,Services,22864,16919,28
ORD-1070,2025-10-24,East,Enterprise,Software,24737,15584,41
ORD-1071,2025-11-04,Central,Consumer,Hardware,8110,6164,54
ORD-1072,2025-12-11,South,SMB,Services,9983,6489,67
ORD-1073,2025-01-18,West,Enterprise,Software,11856,9248,8
ORD-1074,2025-02-25,East,Consumer,Hardware,13729,9198,21
ORD-1075,2025-03-05,Central,SMB,Services,15602,8737,34
ORD-1076,2025-04-12,South,Enterprise,Software,17475,12058,47
ORD-1077,2025-05-19,West,Consumer,Hardware,19348,11222,60
ORD-1078,2025-06-26,East,SMB,Services,21221,15067,73
ORD-1079,2025-07-06,Central,Enterprise,Software,23094,13856,14
ORD-1080,2025-08-13,South,Consumer,Hardware,24967,18226,27
ORD-1081,2025-09-20,West,SMB,Services,8340,5171,40
ORD-1082,2025-09-30,East,Enterprise,Software,10213,7660,53
ORD-1083,2025-11-07,Central,Consumer,Hardware,12086,7735,66
ORD-1084,2025-12-14,South,SMB,Services,13959,10748,79
ORD-1085,2025-01-21,West,Enterprise,Software,15832,10449,20
ORD-1086,2025-02-01,East,Consumer,Hardware,17705,9738,33
ORD-1087,2025-03-08,Central,SMB,Services,19578,13313,46
ORD-1088,2025-04-15,South,Enterprise,Software,21451,12227,59
ORD-1089,2025-05-22,West,Consumer,Hardware,23324,16327,72
ORD-1090,2025-06-02,East,SMB,Services,6697,3951,13
ORD-1091,2025-07-09,Central,Enterprise,Software,8570,6170,26
ORD-1092,2025-08-16,South,Consumer,Hardware,10443,6370,39
ORD-1093,2025-09-23,West,SMB,Services,12316,9114,52
ORD-1094,2025-10-03,East,Enterprise,Software,14189,8939,65
