Month,Service_Type,Plan_Type,Subscribers,New_Subscribers,Disconnects,Revenue,Expenses,CAPEX,Text_Utilization,Voice_Utilization,Data_Utilization
Jul 2025,Mobile,5 GB,780,140,25,45240,5428.8,6786,0.26,0.27,0.28
Jul 2025,Mobile,500 MB,833,171,36,51646,6197.5199999999995,8263.36,0.28,0.28,0.32
Jul 2025,Mobile,2 GB,886,202,47,58476,7017.12,9940.919999999998,0.3,0.29000000000000004,0.36000000000000004
Jul 2025,Mobile,5 GB + Tethering,939,233,58,65730,7887.599999999999,11831.4,0.32,0.30000000000000004,0.4
Jul 2025,Broadband,5 GB,877,183,42,61390,7366.8,11050.199999999999,0.27,0.29000000000000004,0.29000000000000004
Jul 2025,Broadband,500 MB,930,214,53,68820,8258.4,13075.8,0.29000000000000004,0.30000000000000004,0.33
Jul 2025,Broadband,2 GB,983,245,64,76674,9200.88,15334.800000000001,0.31,0.31,0.37
Jul 2025,Broadband,5 GB + Tethering,1036,276,75,84952,10194.24,17839.92,0.33,0.32,0.41000000000000003
Jul 2025,Voice,5 GB,974,226,59,79868,9584.16,16772.28,0.28,0.31,0.30000000000000004
Jul 2025,Voice,500 MB,1027,257,70,88322,10598.64,19430.84,0.3,0.32,0.34
Jul 2025,Voice,2 GB,1080,288,81,97200,11664,22356,0.32,0.33,0.38
Jul 2025,Voice,5 GB + Tethering,1133,319,92,106502,12780.24,25560.48,0.34,0.34,0.42000000000000004
Aug 2025,Mobile,5 GB,841,211,44,48778,6585.030000000001,10731.16,0.33,0.32,0.31000000000000005
Aug 2025,Mobile,500 MB,894,242,55,55428,7482.780000000001,12748.439999999999,0.35,0.33,0.35000000000000003
Aug 2025,Mobile,2 GB,947,273,66,62502,8437.77,15000.48,0.37,0.34,0.39
Aug 2025,Mobile,5 GB + Tethering,1000,304,77,70000,9450,10500,0.39,0.35000000000000003,0.43000000000000005
Aug 2025,Broadband,5 GB,938,254,61,65660,8864.1,9849,0.34,0.34,0.32
Aug 2025,Broadband,500 MB,991,285,72,73334,9900.09,11733.44,0.36,0.35000000000000003,0.36000000000000004
Aug 2025,Broadband,2 GB,1044,316,83,81432,10993.320000000002,13843.439999999999,0.38,0.36,0.4
Aug 2025,Broadband,5 GB + Tethering,1097,347,94,89954,12143.79,16191.72,0.4,0.37,0.44000000000000006
Aug 2025,Voice,5 GB,1035,297,78,84870,11457.45,15276.599999999999,0.35,0.36,0.33
Aug 2025,Voice,500 MB,1088,328,89,93568,12631.68,17777.920000000002,0.37,0.37,0.37
Aug 2025,Voice,2 GB,1141,359,100,102690,13863.150000000001,20538,0.39,0.38,0.41000000000000003
Aug 2025,Voice,5 GB + Tethering,1194,390,111,112236,15151.86,23569.559999999998,0.41000000000000003,0.39,0.45000000000000007
Sep 2025,Mobile,5 GB,902,282,63,52316,7847.4,9940.04,0.4,0.37,0.34
Sep 2025,Mobile,500 MB,955,313,74,59210,8881.5,11842,0.42000000000000004,0.38,0.38
Sep 2025,Mobile,2 GB,1008,344,85,66528,9979.199999999999,13970.88,0.44,0.39,0.42000000000000004
