Ticket_ID,Month,Status,Service_Type,Region,Priority,Issue_Type,Response_Hours,Resolution_Hours,Customer_Rating,Channel,Technician
TS-8001,Jan,Open,Broadband,North,Low,Slow Internet,1.2,8,2.5,App,Tech 1
TS-8002,Feb,Resolved,Landline,South,Medium,Service Outage,2.5,9.7,3.6,Retail,Tech 8
TS-8003,Mar,In Progress,TV,East,High,Dropped Calls,5.8,19.4,4.7,Phone,Tech 15
TS-8004,Apr,Open,Mobile,West,Low,Billing Error,5.1,13.1,3.3,Web,Tech 4
TS-8005,May,Resolved,Broadband,North,Medium,No Signal,6.4,14.8,4.4,App,Tech 11
TS-8006,Jun,In Progress,Landline,South,High,Installation Delay,9.7,24.5,3,Retail,Tech 18
TS-8007,Jul,Open,TV,East,Low,Slow Internet,9,18.2,4.1,Phone,Tech 7
TS-8008,Aug,Resolved,Mobile,West,Medium,Service Outage,10.299999999999999,19.9,2.7,Web,Tech 14
TS-8009,Sep,In Progress,Broadband,North,High,Dropped Calls,13.6,29.6,3.8,App,Tech 3
TS-8010,Oct,Open,Landline,South,Low,Billing Error,12.899999999999999,23.3,4.9,Retail,Tech 10
TS-8011,Nov,Resolved,TV,East,Medium,No Signal,14.2,25,3.5,Phone,Tech 17
TS-8012,Dec,In Progress,Mobile,West,High,Installation Delay,17.5,34.7,4.6,Web,Tech 6
TS-8013,Jan,Open,Broadband,North,Low,Slow Internet,16.8,28.4,3.2,App,Tech 13
TS-8014,Feb,Resolved,Landline,South,Medium,Service Outage,18.099999999999998,30.1,4.3,Retail,Tech 2
TS-8015,Mar,In Progress,TV,East,High,Dropped Calls,21.4,39.8,2.9,Phone,Tech 9
TS-8016,Apr,Open,Mobile,West,Low,Billing Error,20.7,33.5,4,Web,Tech 16
TS-8017,May,Resolved,Broadband,North,Medium,No Signal,22,35.2,2.6,App,Tech 5
TS-8018,Jun,In Progress,Landline,South,High,Installation Delay,4.3,44.9,3.7,Retail,Tech 12
TS-8019,Jul,Open,TV,East,Low,Slow Internet,3.5999999999999996,38.6,4.8,Phone,Tech 1
TS-8020,Aug,Open,Mobile,West,Medium,Service Outage,4.9,40.3,3.4,Web,Tech 8
