Employee_ID,Department,Location,Tenure_Years,Performance_Rating,Training_Hours,Engagement_Score,Attrition
EMP-3001,Operations,Remote,0.5,1,4,48,Yes
EMP-3002,Operations,Central,0.9,3,13,61,Yes
EMP-3003,Sales,East,1.2,5,22,74,No
EMP-3004,Sales,West,1.6,2,31,87,No
EMP-3005,Sales,Remote,2,4,40,49,No
EMP-3006,Technology,Central,2.4,1,49,62,No
EMP-3007,Technology,East,2.7,3,58,75,No
EMP-3008,Technology,West,3.1,5,11,88,No
EMP-3009,Technology,Remote,3.5,2,20,50,Yes
EMP-3010,Finance,Central,3.8,4,29,63,No
EMP-3011,Finance,East,4.2,1,38,76,No
EMP-3012,HR,West,4.6,3,47,89,No
EMP-3013,Operations,Remote,4.9,5,56,51,No
EMP-3014,Operations,Central,5.3,2,9,64,No
EMP-3015,Sales,East,5.7,4,18,77,No
EMP-3016,Sales,West,6,1,27,90,No
EMP-3017,Sales,Remote,6.4,3,36,52,No
EMP-3018,Technology,Central,6.8,5,45,65,No
EMP-3019,Technology,East,7.2,2,54,78,No
EMP-3020,Technology,West,7.5,4,7,91,No
EMP-3021,Technology,Remote,7.9,1,16,53,Yes
EMP-3022,Finance,Central,8.3,3,25,66,No
EMP-3023,Finance,East,8.6,5,34,79,No
EMP-3024,HR,West,9,2,43,92,No
EMP-3025,Operations,Remote,9.4,4,52,54,No
EMP-3026,Operations,Central,9.8,1,5,67,No
EMP-3027,Sales,East,10.1,3,14,80,No
EMP-3028,Sales,West,10.5,5,23,93,No
EMP-3029,Sales,Remote,10.9,2,32,55,Yes
EMP-3030,Technology,Central,11.2,4,41,68,No
EMP-3031,Technology,East,11.6,1,50,81,No
EMP-3032,Technology,West,12,3,59,94,No
EMP-3033,Technology,Remote,12.3,5,12,56,No
EMP-3034,Finance,Central,0.7,2,21,69,No
EMP-3035,Finance,East,1.1,4,30,82,No
EMP-3036,HR,West,1.4,1,39,95,No
EMP-3037,Operations,Remote,1.8,3,48,57,Yes
EMP-3038,Operations,Central,2.2,5,57,70,No
EMP-3039,Sales,East,2.6,2,10,83,No
EMP-3040,Sales,West,2.9,4,19,96,No
